"項目","単位","1980_55","1981_56","1982_57","1983_58","1984_59","1985_60","1986_61","1987_62","1988_63","1989_1","1990_2","1991_3","1992_4","1993_5","1994_6","1995_7","1996_8","1997_9","1998_10","1999_11","2000_12","2001_13","2002_14","2003_15","2004_16","2005_17","2006_18","2007_19","2008_20","2009_21","2010_22","2011_23","2012_24","2013_25","有効数字(少数桁)"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"指数_総合","","76.4","79.7","81.8","84.2","85.8","87.2","87.7","87.0","87.2","88.9","91.4","94.6","96.0","97.3","98.4","97.4","97.4","99.0","99.4","98.9","98.4","97.8","96.3","95.7","95.5","95.0","95.3","95.9","97.5","96.9","96.8","96.4","96.3","96.8","100.0"
"指数_総合_生鮮食品を除く総合","","76.2","79.4","81.9","84.0","85.7","87.2","87.8","87.4","87.5","89.2","91.2","94.1","96.1","97.5","98.8","97.8","97.7","99.4","99.1","98.8","98.5","97.6","96.3","96.0","96.0","95.4","95.6","95.9","97.7","97.2","96.9","96.6","96.5","97.0","100.0"
"指数_総合_持家の帰属家賃を除く総合","","76.6","80.1","81.8","83.8","85.3","86.7","87.3","86.6","86.8","88.6","91.2","94.4","95.7","97.1","98.3","97.1","97.0","98.8","100.0","99.5","98.6","97.6","96.1","95.3","94.9","94.4","94.8","95.3","97.2","96.1","95.6","95.6","95.4","96.0","100.0"
"指数_総合_持家の帰属家賃及び生鮮食品を除く総合","","76.3","79.8","81.8","83.5","85.1","86.6","87.3","86.9","87.1","88.9","90.9","93.8","95.7","97.3","98.6","97.4","97.2","99.4","99.7","99.4","98.7","97.3","95.9","95.5","95.4","94.8","94.9","95.3","97.4","96.4","95.8","95.7","95.5","96.2","100.0"
"指数_総合_食料（酒類を除く）及びエネルギーを除く総合","","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","98.2","98.0","97.9","98.5","98.6","98.4","97.4","97.1","97.1","100.0"
"指数_食料","","75.2","78.3","79.3","81.7","83.3","84.0","84.3","82.4","82.9","84.9","88.0","91.8","92.4","94.0","96.5","93.6","93.7","95.2","97.2","96.7","95.6","96.0","94.5","93.3","93.5","92.9","93.3","94.8","97.6","97.8","97.3","97.2","96.8","96.2","100.0"
"指数_食料_生鮮食品","","79.6","83.2","81.1","87.0","88.5","88.0","87.8","82.5","84.2","86.2","94.4","101.9","95.5","95.6","94.1","92.4","93.6","91.3","103.0","100.6","97.2","101.8","97.3","91.7","87.7","87.4","90.1","93.8","93.7","91.0","92.7","92.9","93.8","92.6","100.0"
"指数_食料_生鮮食品を除く食料","","74.5","77.4","79.3","80.8","82.4","83.4","83.7","82.7","82.9","84.9","86.8","89.8","92.0","94.0","97.3","94.1","94.0","96.4","96.1","96.0","95.3","94.9","94.0","93.7","94.8","94.1","94.0","95.0","98.5","99.3","98.3","98.1","97.5","97.0","100.0"
"指数_食料_穀類","","84.1","89.2","93.5","95.1","98.8","100.1","101.4","102.0","101.7","103.7","104.3","107.8","109.2","113.5","134.4","111.5","111.5","113.8","112.3","112.1","109.6","108.1","107.4","107.5","111.3","104.2","102.5","102.8","110.6","110.5","106.4","107.2","105.4","106.9","100.0"
"指数_食料_魚介類","","91.8","93.2","96.2","102.5","101.5","99.8","104.1","97.9","97.6","99.8","100.4","104.4","107.8","107.6","105.0","100.9","102.4","103.7","108.2","107.3","102.7","105.3","107.2","94.4","93.4","91.4","94.9","99.7","99.7","98.3","100.8","101.8","102.5","99.6","100.0"
"指数_食料_魚介類_生鮮魚介（再掲）","","102.1","102.4","108.8","119.5","117.7","113.8","121.2","111.4","106.8","111.5","115.1","120.8","118.0","117.0","110.3","105.1","109.7","108.1","119.1","116.2","110.9","116.9","118.6","99.2","99.2","97.5","101.4","107.0","102.9","98.0","102.2","104.0","104.2","99.0","100.0"
"指数_食料_肉類","","68.9","70.5","70.3","71.3","70.6","71.1","70.7","69.8","69.9","71.9","74.6","76.8","76.1","76.8","76.8","74.8","74.3","75.9","75.4","72.2","71.2","74.8","74.9","73.2","83.3","90.0","92.7","94.2","95.0","94.6","98.3","96.4","97.4","97.4","100.0"
"指数_食料_乳卵類","","89.1","93.8","88.5","86.9","87.4","87.8","88.3","80.4","81.2","86.0","91.2","92.3","91.1","88.7","89.2","89.2","90.7","93.1","92.5","91.5","91.0","88.1","88.3","88.4","90.2","91.8","91.6","92.6","96.2","94.8","95.1","95.2","93.9","93.3","100.0"
"指数_食料_野菜・海藻","","67.5","69.4","64.2","68.4","72.9","70.3","69.8","68.3","74.8","76.3","82.9","88.0","78.8","87.9","88.1","87.9","86.4","85.6","95.9","93.2","89.9","88.2","83.8","91.6","87.7","84.7","87.6","86.1","87.7","88.2","90.4","90.4","91.0","90.3","100.0"
